"Cluster","Host","HostNumCPU","HostMemUsage","HostMemTotal","Name","OSName","Power","MemoryGB","NumCPU","NumDisks","DisksGB"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1UDM01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","115"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1UDMBR01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","115"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1USXMGM01","Ubuntu Linux (64-bit)","PoweredOff","7","2","4","43"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1VIEW01_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","10","2","2","71"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1VIEW02_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","10","2","2","71"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1VIEWSEC01_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","10","2","2","71"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1VIEWVC01_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","10","2","2","71"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","wfwdc1viewws01_OFF","SUSE Linux Enterprise 11 (64-bit)","PoweredOff","6","2","4","60.234375"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1VPN01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","45"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1VRNSCL01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","6","3","265"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1WB01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","1","2","45"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1WCS01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOff","8","4","3","75"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1WCS02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOff","4","2","3","55"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1WCS03","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOff","4","2","3","60"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1WCS03NEW","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOff","8","2","3","60"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1WCSDM01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","130"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1WEB01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1WEB02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1WEBAPP01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","4","3","105"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1WEBDEV01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","105"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1WEBUAT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1WEM01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1WSKM01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","140"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1WSTOOLS01","Microsoft Windows 8 (64-bit)","PoweredOn","4","2","1","100"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1WSUS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","125"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1ZCC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","3","220"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDRCC1","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","1","1","3","45"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","11NOV2017-WIN81","Microsoft Windows 8 (64-bit)","PoweredOn","2","2","2","65"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1CELM01","CentOS 4/5 or later (64-bit)","PoweredOn","8","4","2","330"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1DDC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1DDC02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1PH10","Debian GNU/Linux 6 (64-bit)","PoweredOn","1","1","1","16"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1PH11","Other (32-bit)","PoweredOff","6","2","2","132.125"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1PH2","Red Hat Enterprise Linux 6 (64-bit)","PoweredOn","6","2","1","80"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1PH5","Red Hat Enterprise Linux 6 (64-bit)","PoweredOn","4","2","2","160"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1PSC01","Other 3.x or later Linux (64-bit)","PoweredOn","4","2","12","53.8115234375"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1PSC02","Other 3.x or later Linux (64-bit)","PoweredOn","4","2","12","53.8115234375"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1PVS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","32","2","4","605"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1PVS02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","32","2","4","605"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1SH01","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","1","25"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1SH02","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","1","25"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1SH03","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","1","25"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1SH04","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","1","25"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1SH05","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","1","25"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1SH06","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","1","25"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1SH07","Microsoft Windows Server 2012 (64-bit)","PoweredOff","24","4","1","25"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1SHMSTR_OLD","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOff","4","2","2","45"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1SHMSTRv2","Microsoft Windows Server 2012 (64-bit)","PoweredOff","24","4","1","25"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1TINTRIGC1","Other Linux (64-bit)","PoweredOn","4","2","2","373"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1USX01","Ubuntu Linux (64-bit)","PoweredOn","59","4","2","230"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1USX02","Ubuntu Linux (64-bit)","PoweredOn","59","4","2","230"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1VCHA01","Other 3.x or later Linux (64-bit)","PoweredOn","16","4","12","269.7529296875"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1VCHA01-peer","Other 3.x or later Linux (64-bit)","PoweredOn","16","4","12","269.7529296875"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1VCHA01-witness","Other 3.x or later Linux (64-bit)","PoweredOn","1","1","12","269.7529296875"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1VMCONV01","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","2","65"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1W10MSTR","Microsoft Windows 8 (64-bit)","PoweredOff","2","1","1","5"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1W81MSTR_OLD","Microsoft Windows 8 (64-bit)","PoweredOff","4","4","1","5"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1W81MSTRv1_OLD","Microsoft Windows 8 (64-bit)","PoweredOff","4","2","1","5"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1W81MSTRv2","Microsoft Windows 8 (64-bit)","PoweredOff","4","4","1","7"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1XD01","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","1","7"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1XD02","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","1","7"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1XD03","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","1","7"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1XD04","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","1","7"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1XD05","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","1","7"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","WFWDC1XDCMSAC01","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDGOLD","Microsoft Windows 8 (64-bit)","PoweredOff","4","2","1","5"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDHANDS01","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDHANDS02","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDHANDS03","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDINTAP01","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDINTAP02","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDINTAP03","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDINTAP04","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","55"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDINTAP05","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","75"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWDC1XDINTAP06","Microsoft Windows 8 (64-bit)","PoweredOn","4","4","2","75"
"DC1 VDI Cluster","wfwdc1vm09.wfw.com","24","130","511","WFWNOTES901","Microsoft Windows 7 (64-bit)","PoweredOff","2","2","2","50.015625"
"DC1 VDI Cluster","wfwdc1vm03.wfw.com","24","170","511","XDGOLD01","Microsoft Windows 8 (64-bit)","PoweredOff","4","4","1","7"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","OLD_WFWDC2LYNC01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOff","4","2","3","86"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","OLD_WFWDC2OWA01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","1","50"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC1WB01_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","8","4","1","50"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2APP01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","1","3","115"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2APP02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","1","3","85"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2BB01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","2","45"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2BEMS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2BES01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","4","2","65"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2BES02_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","12","2","2","65"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2CLUOCM01","Other 2.6.x Linux (64-bit)","PoweredOn","12","4","4","152"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2CT01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","1","3","85"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2DA01","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","1","1","40"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2DA02","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","1","1","40"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2DAVPN01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","2","45"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2DAVPN02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","2","45"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2DC01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","2","65"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2DC02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","2","60"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2DDC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2DDC02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2DIRECT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2DIRECT02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2DM01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","1","2","45"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2DMIX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","15.625","8","2","55"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2DMIX02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","12","2","55"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2DMIX03","Microsoft Windows Server 2012 (64-bit)","PoweredOff","24","12","2","55"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2DMSWCS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2DPX01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","3","208.0078125"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2ECX01","Red Hat Enterprise Linux 5 (64-bit)","PoweredOn","31.25","2","3","380"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2EDGE01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","117"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2EDGE01_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2EXCH01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","48","4","22","13053.930606842"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2EXCH02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","48","4","21","11850.9377002716"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2EXCH04","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","16","4","22","12731.646232605"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2FF01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","1","1","40"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2HS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","4","3","113"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2HSUAT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","3","109"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2HTTPD01","CentOS 4/5 or later (64-bit)","PoweredOn","2","2","1","20"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2KEMPLB01","Other 2.6.x Linux (64-bit)","PoweredOn","2","2","1","16"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2KEMPLB02","Other 2.6.x Linux (64-bit)","PoweredOn","2","2","1","16"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2KEMPRP01","Other 2.6.x Linux (64-bit)","PoweredOn","2","2","1","16"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2LYNC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","137"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2LYNC01_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2LYNC02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","125"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2LYNC02_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2LYNC02_rebuild","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","117"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2LYNC03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","137"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2LYNC03_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2MISEN01","CentOS 4/5 or later (64-bit)","PoweredOn","4","1","1","40"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2MISEN02","CentOS 4/5 or later (64-bit)","PoweredOn","4","1","1","40"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2MISEN03","CentOS 4/5 or later (64-bit)","PoweredOn","4","1","1","40"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2MIVSP01","CentOS 4/5 or later (64-bit)","PoweredOn","8","1","1","100"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2MIVSP01_Clone","CentOS 4/5 or later (64-bit)","PoweredOff","8","1","1","40"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2MIVSP01_Clone2","CentOS 4/5 or later (64-bit)","PoweredOff","8","1","1","40"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2NE01","Other Linux (64-bit)","PoweredOn","0.375","1","1","40"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2NETS01","Oracle Solaris 10 (64-bit)","PoweredOn","4","2","1","20"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2NETS02","Oracle Solaris 10 (64-bit)","PoweredOn","4","2","1","20"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2NS01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","4","2","56"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2NS02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","4","2","56"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2NS03","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOff","4","1","1","40"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2OCR01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2OOS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","2","80"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2OOS02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","2","80"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2OWA01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","65"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2OWAUAT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2PIPE01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","95"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2PRX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","100"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2PSC01","Other 3.x or later Linux (64-bit)","PoweredOn","4","2","12","53.8115234375"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2PSC02","Other 3.x or later Linux (64-bit)","PoweredOn","4","2","12","53.8115234375"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2SF01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2SF02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2SHARF01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2SHARF02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","55"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2SME01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","115"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2SP16TEST01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","255"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2SP16UAT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","22","2","2","276"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2SP16UAT02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","2","2","120"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2SPA01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","8","3","284"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2SPAPP01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","8","3","220"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2SPLUNK01","CentOS 4/5 or later (64-bit)","PoweredOn","32","4","3","560"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2SPS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","4","4","917"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2SPS02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","4","4","917"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2SPSQL01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","8","5","575"
"DC2 Cluster","wfwdc2vm10.wfw.com","20","160","256","WFWDC2SPSRCH01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","32","8","4","1833"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2SPSRCH02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","32","8","4","1833"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2SPSRCH03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","8","4","421"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2SPSRCH04","Microsoft Windows Server 2012 (64-bit)","PoweredOn","20","8","4","421"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2SPSRCH05","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","4","267"
"DC2 Cluster","wfwdc2vm07.wfw.com","20","151","256","WFWDC2SPSRCH06","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","4","267"
"DC2 Cluster","wfwdc2vm03.wfw.com","20","154","256","WFWDC2SPUAT01","Microsoft Windows Server 2012 (64-bit)","PoweredOff","12","2","2","132"
"DC2 Cluster","wfwdc2vm05.wfw.com","20","169","256","WFWDC2SPUAT02","Microsoft Windows Server 2012 (64-bit)","PoweredOff","4","2","2","55"
"DC2 Cluster","wfwdc2vm04.wfw.com","20","148","256","WFWDC2SPUATDB01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","2","4","275"
"DC2 Cluster","wfwdc2vm06.wfw.com","20","163","256","WFWDC2SPW01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","12","4","2","98"
